ID,Genero,Casado,Edad,Graduado,Experiencia_laboral,Gastoscore,Family_Size,anno_nacimiento,Generacion,Ingresos_anuales_brutos,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Profesion_Construcción,Profesion_Empresarial,Profesion_Funcionario,Profesion_Otros,Profesion_Servicios,Profesion_Técnico,Zona_Centro,Zona_Levante,Zona_Noreste,Zona_Noroeste,Zona_Norte,Zona_Periferia,Zona_Sur,Campaña__0,Campaña__1,Campaña__3,Campaña__4,Campaña__5
CLI10,0,1,67,1,2,0,3,1957,1,93442,1385,80,1,195,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
CLI100,1,1,64,1,2,1,2,1960,1,99774,1052,50,1,360,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
CLI1000,1,1,65,1,2,1,3,1959,1,36756,1717,30,0,407,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
CLI10000,1,0,33,0,1,0,4,1991,2,24616,1606,30,0,544,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
CLI10001,1,1,52,0,2,1,2,1972,1,29834,1346,30,1,170,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CLI10002,1,1,76,0,2,0,1,1948,1,88523,158,120,0,358,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
CLI10003,1,1,45,1,2,0,5,1979,1,112808,939,30,0,442,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CLI10004,1,1,36,0,1,0,6,1988,2,18885,824,30,0,124,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
CLI10005,1,0,30,1,0,0,5,1994,2,21358,1675,30,0,70,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
CLI10006,1,1,42,1,2,0,2,1982,2,46283,1008,50,0,403,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
CLI10007,1,1,39,1,1,1,4,1985,2,27934,1077,30,0,596,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
CLI10008,1,1,30,1,0,0,2,1994,2,29611,1123,30,0,439,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
CLI10009,0,1,56,1,2,0,1,1968,1,23165,661,30,0,269,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CLI1001,1,1,54,1,2,0,1,1970,1,31813,1013,30,0,124,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10010,0,1,57,1,2,0,1,1967,1,65881,857,50,0,100,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
CLI10011,1,0,58,1,2,0,1,1966,1,98016,583,50,1,111,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
CLI10012,1,1,47,1,2,1,2,1977,1,118920,622,50,1,299,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
CLI10013,1,1,46,1,2,0,2,1978,1,110986,1033,50,1,353,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
CLI10014,1,0,40,1,1,0,1,1984,2,118745,985,50,0,594,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
CLI10015,1,0,40,1,1,0,2,1984,2,28101,1537,30,0,213,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10016,0,0,44,1,2,0,1,1980,1,41542,847,50,0,481,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
CLI10017,1,1,52,1,2,1,3,1972,1,86337,1717,80,0,315,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CLI10018,1,0,33,0,1,0,2,1991,2,23343,1307,30,0,363,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
CLI10019,0,1,58,1,2,0,1,1966,1,120481,1737,50,0,336,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
CLI1002,0,0,56,1,2,0,1,1968,1,33444,1209,30,0,407,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
CLI10020,1,1,50,1,2,1,2,1974,1,63085,994,50,0,58,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
CLI10021,1,0,36,1,1,0,5,1988,2,18101,686,30,0,51,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CLI10022,0,0,44,1,2,0,2,1980,1,44724,732,50,0,447,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
CLI10023,0,1,40,1,1,0,1,1984,2,56314,156,50,0,463,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CLI10024,1,0,35,0,1,0,4,1989,2,25008,1974,30,0,316,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
CLI10025,0,1,56,1,2,0,2,1968,1,22001,1756,30,0,580,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
CLI10026,0,0,54,1,2,0,1,1970,1,21769,642,30,0,493,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
CLI10027,1,1,89,0,2,0,1,1935,0,118924,1267,120,1,378,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
CLI10028,1,1,79,1,2,1,4,1945,0,90739,74,80,0,129,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
CLI10029,0,0,77,1,2,0,2,1947,1,123905,798,50,0,114,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI1003,1,0,44,1,2,0,2,1980,1,117230,1307,50,1,124,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10030,1,0,23,0,0,0,3,2001,3,15394,2202,30,1,304,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CLI10031,1,0,23,0,0,0,5,2001,3,22448,1719,30,1,382,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
CLI10032,0,1,45,0,2,1,4,1979,1,86899,1123,30,0,542,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CLI10033,0,0,54,0,2,0,1,1970,1,112072,955,120,0,389,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
CLI10034,0,0,56,0,2,0,1,1968,1,102706,955,120,0,316,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CLI10035,1,1,31,0,0,1,5,1993,2,30641,1606,30,0,394,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
CLI10036,1,0,41,1,1,0,2,1983,2,74453,1054,50,0,449,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
CLI10038,1,0,21,0,0,0,4,2003,3,21922,1892,30,1,359,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CLI10039,0,0,35,0,1,0,3,1989,2,29858,1836,30,1,389,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CLI10040,0,1,56,0,2,0,1,1968,1,116712,1482,120,1,120,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
CLI10041,1,1,29,0,0,0,2,1995,2,18405,2651,30,0,53,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10042,1,1,67,0,2,0,1,1957,1,81561,818,120,0,468,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
CLI10043,0,1,56,1,2,1,4,1968,1,35364,759,30,0,95,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10044,0,1,50,1,2,1,3,1974,1,96083,896,80,0,347,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
CLI10045,1,1,32,1,1,2,2,1992,2,18234,1997,30,0,519,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
CLI10046,1,1,52,0,2,0,5,1972,1,48556,622,30,0,353,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
CLI10047,1,0,28,1,0,0,2,1996,2,28126,2099,30,1,378,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
CLI10048,1,0,44,0,2,0,5,1980,1,81077,2066,30,0,585,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
CLI10049,1,0,50,1,2,0,1,1974,1,51599,1619,50,1,321,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
CLI1005,0,1,81,1,2,0,1,1943,0,22520,1697,30,0,220,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
CLI10050,1,1,35,1,1,1,2,1989,2,21382,1767,30,0,588,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
CLI10051,1,1,42,1,2,0,3,1982,2,90912,2066,30,0,46,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CLI10052,0,0,42,1,2,0,2,1982,2,56181,732,50,0,526,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
CLI10053,0,1,53,1,2,0,3,1971,1,70540,1013,80,0,55,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
CLI10054,0,0,78,1,2,0,1,1946,1,113998,74,50,0,414,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
CLI10055,0,1,51,1,2,0,3,1973,1,50710,857,30,0,264,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
CLI10056,0,1,51,1,2,0,2,1973,1,86652,935,50,1,361,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
CLI10058,1,1,47,0,2,0,3,1977,1,125707,1697,200,0,484,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
CLI10059,0,0,42,1,2,0,4,1982,2,41471,1836,30,0,597,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
CLI1006,1,0,30,1,0,0,2,1994,2,24574,1514,30,1,168,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CLI10060,1,0,28,1,0,0,4,1996,2,20959,1754,30,0,466,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CLI10061,0,1,51,1,2,0,4,1973,1,74075,1209,80,0,426,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
CLI10062,0,0,31,1,0,0,3,1993,2,28041,1445,30,0,158,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
CLI10063,0,0,45,1,2,0,4,1979,1,109478,1238,30,0,161,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CLI10064,0,0,35,1,1,0,5,1989,2,26148,179,30,0,130,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
CLI10065,0,0,23,0,0,0,4,2001,3,13024,203,30,0,485,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
CLI10067,1,0,30,0,0,0,5,1994,2,25282,1307,30,0,288,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10068,1,1,44,1,2,1,2,1980,1,34194,1698,30,1,171,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10069,0,1,75,0,2,0,1,1949,1,53833,1111,30,1,398,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
CLI1007,1,1,77,1,2,2,2,1947,1,74519,681,50,0,350,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
CLI10070,0,0,28,0,0,0,7,1996,2,19814,1374,30,0,492,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
CLI10071,1,0,31,0,0,0,4,1993,2,24129,939,30,0,379,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
CLI10072,1,0,31,0,0,0,8,1993,2,30178,847,30,0,76,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10073,1,0,30,0,0,0,3,1994,2,28894,732,30,0,105,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10075,1,1,51,0,2,0,9,1973,1,50742,1267,30,0,254,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CLI10076,0,0,36,0,1,0,4,1988,2,23367,1399,30,0,495,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
CLI10077,0,1,44,1,2,1,3,1980,1,108678,663,30,0,246,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
CLI10078,0,1,53,0,2,1,7,1971,1,110010,1052,30,0,198,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
CLI10079,1,1,46,0,2,2,5,1978,1,74824,1561,30,0,213,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CLI1008,0,1,68,1,2,0,2,1956,1,61865,779,50,0,335,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
CLI10080,1,0,62,1,2,0,1,1962,1,65149,1424,50,1,117,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10081,0,0,56,1,2,0,1,1968,1,80564,1033,50,0,506,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
CLI10082,0,0,30,1,0,0,1,1994,2,24531,1629,30,0,262,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CLI10083,0,0,28,1,0,0,3,1996,2,22954,1754,30,1,370,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
CLI10084,0,1,56,0,2,2,2,1968,1,82472,818,120,0,381,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
CLI10085,0,1,29,1,0,1,2,1995,2,18414,303,30,1,247,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CLI10086,0,0,39,1,1,0,1,1985,2,23732,847,30,0,250,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
