ID,Genero,Casado,Edad,Graduado,Experiencia_laboral,Gastoscore,Family_Size,Generacion,Ingresos_anuales_brutos,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Profesion_Construcción,Profesion_Empresarial,Profesion_Funcionario,Profesion_Otros,Profesion_Servicios,Profesion_Técnico,Zona_Centro,Zona_Levante,Zona_Noreste,Zona_Noroeste,Zona_Norte,Zona_Periferia,Zona_Sur,Campaña__0,Campaña__1,Campaña__3,Campaña__4,Campaña__5,Cluster_PCA,Cluster_tSNE,t-SNE1,t-SNE2,PC1,PC2
CLI10,0,1,67,1,2,0,3,1,93442,1385,80,1,195,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,1,-54.06456,-26.059683,-1.5765379060262954,-0.509217891117837
CLI100,1,1,64,1,2,1,2,1,99774,1052,50,1,360,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3,-24.174543,10.518461,-1.851295441537267,-0.02533173385338424
CLI1000,1,1,65,1,2,1,3,1,36756,1717,30,0,407,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,4,3,-27.951586,48.1942,-0.7790615813337881,0.6528670222577608
CLI10000,1,0,33,0,1,0,4,2,24616,1606,30,0,544,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,8.832579,4.512604,1.9648949039274108,0.21303475011969034
CLI10001,1,1,52,0,2,1,2,1,29834,1346,30,1,170,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,3,-13.865686,4.270164,-0.5189375140803367,0.23274781117008028
CLI10002,1,1,76,0,2,0,1,1,88523,158,120,0,358,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,-85.588356,-30.769953,-2.879419076334722,-1.6394236868530492
CLI10003,1,1,45,1,2,0,5,1,112808,939,30,0,442,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,4,-12.014829,-27.489914,-0.730119562064133,0.6187437274135611
CLI10004,1,1,36,0,1,0,6,2,18885,824,30,0,124,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,32.742443,-6.579005,1.7030444360922474,1.3758638172329989
CLI10005,1,0,30,1,0,0,5,2,21358,1675,30,0,70,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,57.668324,10.516111,2.7633316489586393,0.7156437122798788
CLI10006,1,1,42,1,2,0,2,2,46283,1008,50,0,403,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4,4.86369,-25.676807,0.18140788932961593,-0.7395741763789749
CLI10007,1,1,39,1,1,1,4,2,27934,1077,30,0,596,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4,2,25.516186,48.296787,0.9774256566361978,1.1758181720013174
CLI10008,1,1,30,1,0,0,2,2,29611,1123,30,0,439,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,75.30595,-26.795559,1.915022612880012,-0.6396059182525747
