ID,Genero,Casado,Edad,Graduado,Experiencia_laboral,Gastoscore,Family_Size,Generacion,Ingresos_anuales_brutos,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Campaña__0,Campaña__1,Campaña__3,Campaña__4,Campaña__5,Cluster_PCA,Profesion,Zona
CLI10,Femenino,Sí,67,Sí,+20annos,Bajo,3,Generacion X,93442,1385,80,Sí,195,1,0,0,0,0,2,Técnico,Noroeste
CLI100,Masculino,Sí,64,Sí,+20annos,Medio,2,Generacion X,99774,1052,50,Sí,360,0,0,0,0,1,1,Técnico,Levante
CLI1000,Masculino,Sí,65,Sí,+20annos,Medio,3,Generacion X,36756,1717,30,No,407,0,0,1,0,0,4,Servicios,Centro
CLI10000,Masculino,No,33,No,10-20annos,Bajo,4,Millennials,24616,1606,30,No,544,0,0,0,1,0,0,Funcionario,Noroeste
CLI10001,Masculino,Sí,52,No,+20annos,Medio,2,Generacion X,29834,1346,30,Sí,170,1,0,0,0,0,4,Otros,Noreste
CLI10002,Masculino,Sí,76,No,+20annos,Bajo,1,Generacion X,88523,158,120,No,358,0,0,0,0,1,2,Servicios,Centro
CLI10003,Masculino,Sí,45,Sí,+20annos,Bajo,5,Generacion X,112808,939,30,No,442,0,0,1,0,0,4,Otros,Noroeste
CLI10004,Masculino,Sí,36,No,10-20annos,Bajo,6,Millennials,18885,824,30,No,124,1,0,0,0,0,3,Empresarial,Norte
CLI10005,Masculino,No,30,Sí,<10annos,Bajo,5,Millennials,21358,1675,30,No,70,1,0,0,0,0,3,Funcionario,Norte
CLI10006,Masculino,Sí,42,Sí,+20annos,Bajo,2,Millennials,46283,1008,50,No,403,0,0,1,0,0,0,Técnico,Noroeste
CLI10007,Masculino,Sí,39,Sí,10-20annos,Medio,4,Millennials,27934,1077,30,No,596,0,0,0,1,0,4,Servicios,Levante
CLI10008,Masculino,Sí,30,Sí,<10annos,Bajo,2,Millennials,29611,1123,30,No,439,0,0,1,0,0,0,Servicios,Noroeste
